iter	Passed	Remaining
819	1100	241
820	1101	240
821	1102	238
822	1103	237
823	1103	235
824	1104	234
825	1105	232
826	1106	231
827	1107	230
828	1108	228
829	1109	227
830	1110	225
831	1111	224
832	1112	223
833	1113	221
834	1114	220
835	1115	218
836	1116	217
837	1117	215
838	1118	214
839	1118	213
840	1119	211
841	1120	210
842	1122	209
843	1123	207
844	1124	206
845	1125	204
846	1126	203
847	1127	202
848	1128	200
849	1129	199
850	1130	197
851	1131	196
852	1132	195
853	1133	193
854	1134	192
855	1135	190
856	1136	189
857	1137	188
858	1138	186
859	1139	185
860	1140	184
861	1141	182
862	1142	181
863	1142	179
864	1143	178
865	1144	177
866	1145	175
867	1146	174
868	1147	172
869	1148	171
870	1149	170
871	1151	168
872	1152	167
873	1153	166
874	1154	164
875	1156	163
876	1157	162
877	1158	160
878	1159	159
879	1159	158
880	1160	156
881	1161	155
882	1162	154
883	1163	152
884	1164	151
885	1165	149
886	1167	148
887	1168	147
888	1169	146
889	1170	144
890	1171	143
891	1172	141
892	1173	140
893	1174	139
894	1174	137
895	1176	136
896	1176	135
897	1178	133
898	1178	132
899	1179	131
900	1180	129
901	1182	128
902	1183	127
903	1184	125
904	1185	124
905	1186	123
906	1187	121
907	1188	120
908	1189	119
909	1190	117
910	1191	116
911	1192	115
912	1193	113
913	1194	112
914	1195	111
915	1196	109
916	1198	108
917	1199	107
918	1200	105
919	1201	104
920	1202	103
921	1203	101
922	1204	100
923	1204	99
924	1205	97
925	1206	96
926	1207	95
927	1208	93
928	1209	92
929	1210	91
930	1212	89
931	1213	88
932	1214	87
933	1215	85
934	1216	84
935	1217	83
936	1218	81
937	1218	80
938	1219	79
939	1220	77
940	1221	76
941	1222	75
942	1223	73
943	1224	72
944	1224	71
945	1226	69
946	1227	68
947	1228	67
948	1229	66
949	1230	64
950	1231	63
951	1232	62
952	1233	60
953	1233	59
954	1235	58
955	1236	56
956	1237	55
957	1238	54
958	1239	52
959	1240	51
960	1241	50
961	1242	49
962	1243	47
963	1245	46
964	1245	45
965	1247	43
966	1248	42
967	1250	41
968	1251	40
969	1252	38
970	1253	37
971	1255	36
972	1256	34
973	1258	33
974	1259	32
975	1260	30
976	1261	29
977	1262	28
978	1264	27
979	1265	25
980	1266	24
981	1267	23
982	1268	21
983	1269	20
984	1270	19
985	1271	18
986	1273	16
987	1274	15
988	1275	14
989	1277	12
990	1278	11
991	1279	10
992	1280	9
993	1281	7
994	1283	6
995	1284	5
996	1285	3
997	1286	2
998	1287	1
999	1288	0
